p1,p_flip,p0_same,p1_uncond,p2_uncond,p3_uncond,p4_uncond,mean_visits,sem_visits,mean_first_mistake_or_9,sem_first_mistake_or_9,prop_complete,prop_perfect,n_sims,log10_mean_visits
0.257165,0.31,0.0335,0.257165,0.246805,0.23644500000000002,0.22608500000000004,19.411375,0.08413863182178849,4.9105,0.016274038352250997,1.0,0.00475,8000,1.288056299621359
0.257165,0.32,0.0335,0.257165,0.246805,0.23644500000000002,0.22608500000000004,19.4335,0.08488965926737671,4.883625,0.016288789028128376,1.0,0.0065,8000,1.2885510246758833
0.257165,0.33,0.0335,0.257165,0.246805,0.23644500000000002,0.22608500000000004,19.41025,0.08472888669289551,4.877125,0.016135314851128353,1.0,0.00525,8000,1.288031129047367
0.257165,0.34,0.0335,0.257165,0.246805,0.23644500000000002,0.22608500000000004,19.621,0.08897824602695455,4.879125,0.016116854482859787,1.0,0.006,8000,1.292721137774543
0.257165,0.35000000000000003,0.0335,0.257165,0.246805,0.23644500000000002,0.22608500000000004,19.328375,0.08450642445633157,4.87775,0.016323186667754976,1.0,0.006,8000,1.2861953429991315
0.257165,0.36,0.0335,0.257165,0.246805,0.23644500000000002,0.22608500000000004,19.459375,0.08527849379450751,4.857875,0.015937100879549287,1.0,0.00375,8000,1.2891288874014941
0.257165,0.37,0.0335,0.257165,0.246805,0.23644500000000002,0.22608500000000004,19.48625,0.08646588003795973,4.865625,0.016232998296713014,1.0,0.007125,8000,1.2897282700563515
0.257165,0.38,0.0335,0.257165,0.246805,0.23644500000000002,0.22608500000000004,19.597,0.08678880493521478,4.81725,0.016221573509323618,1.0,0.005625,8000,1.292189592623499
0.257165,0.39,0.0335,0.257165,0.246805,0.23644500000000002,0.22608500000000004,19.5725,0.08629577822186532,4.833375,0.016123046633653604,1.0,0.006125,8000,1.2916463017367512
0.257165,0.4,0.0335,0.257165,0.246805,0.23644500000000002,0.22608500000000004,19.8785,0.08940601293058267,4.845,0.0160243243967272,1.0,0.004125,8000,1.298383610126656
0.257165,0.41000000000000003,0.0335,0.257165,0.246805,0.23644500000000002,0.22608500000000004,19.6035,0.0869630671068476,4.855,0.016136082909010346,1.0,0.0055,8000,1.2923336170190163
0.257165,0.42,0.0335,0.257165,0.246805,0.23644500000000002,0.22608500000000004,19.632375,0.08809617457312592,4.833125,0.01630584103483646,1.0,0.0055,8000,1.2929728409654115
0.257165,0.43,0.0335,0.257165,0.246805,0.23644500000000002,0.22608500000000004,19.7125,0.0862971182475245,4.811375,0.015970874577687408,1.0,0.0045,8000,1.2947417063369593
0.257165,0.44,0.0335,0.257165,0.246805,0.23644500000000002,0.22608500000000004,19.786125,0.08647334135670108,4.807875,0.016190178760066558,1.0,0.005875,8000,1.2963607484308053
0.257165,0.45,0.0335,0.257165,0.246805,0.23644500000000002,0.22608500000000004,19.727125,0.08620440492936267,4.7815,0.016095483895342447,1.0,0.004375,8000,1.2950637964729057
0.257165,0.46,0.0335,0.257165,0.246805,0.23644500000000002,0.22608500000000004,19.846875,0.08849453303506387,4.824375,0.016194301137917103,1.0,0.0055,8000,1.2976921344191685
0.257165,0.47000000000000003,0.0335,0.257165,0.246805,0.23644500000000002,0.22608500000000004,19.742375,0.08778183896073428,4.792625,0.016143424433524945,1.0,0.0055,8000,1.2953993969329367
